fromGate,toGate,distance,time
A3C,C1,1573,16
A3C,C2,1630,17
A3C,C29,1833,21
A3C,C30,1837,21
A3C,C31,1813,20
A3C,C32,1777,20
A3C,C33,1740,19
A3C,C34,1701,19
A3C,C35,1735,19
A3C,C36,1769,20
A3C,C37,1790,20
A3C,C39,1797,20
A3C,C40,1780,20
A3C,C41,1751,19
A3C,C42,1718,19
A3C,C43,1723,19
A3C,C44,1766,20
A3C,C45,1804,20
A3C,C3,1666,18
A3C,C4,1821,20
A3C,C5,1859,21
A3C,C6,1916,22
A3C,C7,1954,23
A3C,C8,1954,23
A3C,C9,1948,23
A3C,C10,1906,22
A3C,C11,1870,21
A3C,C12,1803,20
A3C,C14,1271,19
A3C,C15,1215,18
A3C,D1,1589,17
A3C,D2,1617,17
A3C,D3,1638,17
A3C,D4,1820,20
A3C,D5,1819,20
A3C,D6,2170,21
A3C,D7,2086,19
A3C,D8,2099,19
A3C,D9,2161,20
A3C,D10,2222,21
A3C,D11,2221,21
A3C,D12,2217,21
A3C,D9A,2166,21
A3C,E1,2408,25
A3C,E2,2428,25
A3C,E3,2446,25
A3C,E4,2488,26
A3C,E5,2517,26
A3C,E6,2510,26
A3C,E7,2510,26
A3C,E8,2476,26
A3C,E9,2440,25
A3C,E10,2275,22
A3C,E11,2259,22
A3C,E12,2183,21
A3C,E14,2227,22
A3C,E24,2312,23
A3C,E23,2337,23
A3C,E15,2365,24
A3C,E16,2412,25
A3C,E17,2435,25
A3C,E18,2473,26
A3C,E19,2465,26
A3C,E20,2423,25
A3C,E21,2406,25
A3C,E22,2380,24
A3B,A3H,90,1
A3B,A3G,71,1
A3B,A3F,58,1
A3B,A3E,19,1
A3B,A3D,25,1
A3B,A3C,19,1
A3B,A3A,39,1
A3B,A15,457,8
A3B,A14,469,8
A3B,A12,433,8
A3B,A11,409,7
A3B,A10,396,7
A3B,A9,378,7
A3B,A8,350,6
A3B,A7,318,6
A3B,A2,164,3
A3B,A1,205,4
A3B,A17,578,10
A3B,A18,609,10
A3B,A19,617,11
A3B,A20,608,10
A3B,A24,601,10
A3B,A25,492,9
A3B,A26,526,9
A3B,A27,563,10
A3B,A29,570,10
A3B,A30,575,10
A3B,B76,988,13
A3B,B77,985,13
A3B,B79,984,13
A3B,B80,985,13
A3B,B81,986,13
A3B,B83,988,13
A3B,B85,1031,14
A3B,B86,1031,14
A3B,B86A,1031,14
A3B,B87,1032,14
A3B,B88,1033,14
A3B,B11,1093,15
A3B,B1,1147,16
A3B,B10,1162,17
A3B,B2,1181,17
A3B,B9,1196,17
A3B,B3,1219,18
A3B,B8,1235,18
