checkin_counter,gateNumber,distance,time
United Check-In,E20,1306,25
United Check-In,E21,1290,25
United Check-In,E22,1263,25
InMotion Entertainment,A3H,unknown,unknown
InMotion Entertainment,A3G,unknown,unknown
InMotion Entertainment,A3F,unknown,unknown
InMotion Entertainment,A3E,unknown,unknown
InMotion Entertainment,A3D,unknown,unknown
InMotion Entertainment,A3C,unknown,unknown
InMotion Entertainment,A3B,unknown,unknown
InMotion Entertainment,A3A,unknown,unknown
InMotion Entertainment,A15,unknown,unknown
InMotion Entertainment,A14,unknown,unknown
InMotion Entertainment,A12,unknown,unknown
InMotion Entertainment,A11,unknown,unknown
InMotion Entertainment,A10,unknown,unknown
InMotion Entertainment,A9,unknown,unknown
InMotion Entertainment,A8,unknown,unknown
InMotion Entertainment,A7,unknown,unknown
InMotion Entertainment,A2,unknown,unknown
InMotion Entertainment,A1,unknown,unknown
InMotion Entertainment,A17,unknown,unknown
InMotion Entertainment,A18,unknown,unknown
InMotion Entertainment,A19,unknown,unknown
InMotion Entertainment,A20,unknown,unknown
InMotion Entertainment,A24,unknown,unknown
InMotion Entertainment,A25,unknown,unknown
InMotion Entertainment,A26,unknown,unknown
InMotion Entertainment,A27,unknown,unknown
InMotion Entertainment,A29,unknown,unknown
InMotion Entertainment,A30,unknown,unknown
InMotion Entertainment,B76,unknown,unknown
InMotion Entertainment,B77,unknown,unknown
InMotion Entertainment,B79,unknown,unknown
InMotion Entertainment,B80,unknown,unknown
InMotion Entertainment,B81,unknown,unknown
InMotion Entertainment,B83,unknown,unknown
InMotion Entertainment,B85,unknown,unknown
InMotion Entertainment,B86,unknown,unknown
InMotion Entertainment,B86A,unknown,unknown
InMotion Entertainment,B87,unknown,unknown
InMotion Entertainment,B88,unknown,unknown
InMotion Entertainment,B11,unknown,unknown
InMotion Entertainment,B1,unknown,unknown
InMotion Entertainment,B10,unknown,unknown
InMotion Entertainment,B2,unknown,unknown
InMotion Entertainment,B9,unknown,unknown
InMotion Entertainment,B3,unknown,unknown
InMotion Entertainment,B8,unknown,unknown
InMotion Entertainment,B4,unknown,unknown
InMotion Entertainment,B7,unknown,unknown
InMotion Entertainment,B6,unknown,unknown
InMotion Entertainment,B5,unknown,unknown
InMotion Entertainment,B20,unknown,unknown
InMotion Entertainment,B12,unknown,unknown
InMotion Entertainment,B19,unknown,unknown
InMotion Entertainment,B14,unknown,unknown
InMotion Entertainment,B18,unknown,unknown
InMotion Entertainment,B15,unknown,unknown
InMotion Entertainment,B17,unknown,unknown
InMotion Entertainment,B16,unknown,unknown
InMotion Entertainment,B21,unknown,unknown
InMotion Entertainment,B31,unknown,unknown
InMotion Entertainment,B30,unknown,unknown
InMotion Entertainment,B22,unknown,unknown
InMotion Entertainment,B29,unknown,unknown
InMotion Entertainment,B23,unknown,unknown
InMotion Entertainment,B28,unknown,unknown
InMotion Entertainment,B24,unknown,unknown
InMotion Entertainment,B27,unknown,unknown
InMotion Entertainment,B26,unknown,unknown
InMotion Entertainment,B25,unknown,unknown
InMotion Entertainment,B85A,unknown,unknown
InMotion Entertainment,B83A ,unknown,unknown
InMotion Entertainment,B81A,unknown,unknown
InMotion Entertainment,B77A,unknown,unknown
InMotion Entertainment,B76A,unknown,unknown
InMotion Entertainment,B79A,unknown,unknown
InMotion Entertainment,C1,unknown,unknown
InMotion Entertainment,C2,unknown,unknown
InMotion Entertainment,C29,unknown,unknown
InMotion Entertainment,C30,unknown,unknown
InMotion Entertainment,C31,unknown,unknown
InMotion Entertainment,C32,unknown,unknown
InMotion Entertainment,C33,unknown,unknown
InMotion Entertainment,C34,unknown,unknown
InMotion Entertainment,C35,unknown,unknown
InMotion Entertainment,C36,unknown,unknown
InMotion Entertainment,C37,unknown,unknown
InMotion Entertainment,C39,unknown,unknown
InMotion Entertainment,C40,unknown,unknown
InMotion Entertainment,C41,unknown,unknown
InMotion Entertainment,C42,unknown,unknown
InMotion Entertainment,C43,unknown,unknown
InMotion Entertainment,C44,unknown,unknown
InMotion Entertainment,C45,unknown,unknown
InMotion Entertainment,C3,unknown,unknown
InMotion Entertainment,C4,unknown,unknown
InMotion Entertainment,C5,unknown,unknown
InMotion Entertainment,C6,unknown,unknown
InMotion Entertainment,C7,unknown,unknown
InMotion Entertainment,C8,unknown,unknown
InMotion Entertainment,C9,unknown,unknown
InMotion Entertainment,C10,unknown,unknown
InMotion Entertainment,C11,unknown,unknown
InMotion Entertainment,C12,unknown,unknown
InMotion Entertainment,C14,unknown,unknown
InMotion Entertainment,C15,unknown,unknown
InMotion Entertainment,D1,unknown,unknown
InMotion Entertainment,D2,unknown,unknown
InMotion Entertainment,D3,unknown,unknown
InMotion Entertainment,D4,unknown,unknown
InMotion Entertainment,D5,unknown,unknown
InMotion Entertainment,D6,unknown,unknown
InMotion Entertainment,D7,unknown,unknown
InMotion Entertainment,D8,unknown,unknown
InMotion Entertainment,D9,unknown,unknown
InMotion Entertainment,D10,unknown,unknown
InMotion Entertainment,D11,unknown,unknown
InMotion Entertainment,D12,unknown,unknown
InMotion Entertainment,D9A,unknown,unknown
InMotion Entertainment,E1,unknown,unknown
InMotion Entertainment,E2,unknown,unknown
InMotion Entertainment,E3,unknown,unknown
InMotion Entertainment,E4,unknown,unknown
InMotion Entertainment,E5,unknown,unknown
InMotion Entertainment,E6,unknown,unknown
InMotion Entertainment,E7,unknown,unknown
InMotion Entertainment,E8,unknown,unknown
InMotion Entertainment,E9,unknown,unknown
InMotion Entertainment,E10,unknown,unknown
InMotion Entertainment,E11,unknown,unknown
InMotion Entertainment,E12,unknown,unknown
InMotion Entertainment,E14,unknown,unknown
InMotion Entertainment,E24,unknown,unknown
InMotion Entertainment,E23,unknown,unknown
InMotion Entertainment,E15,unknown,unknown
InMotion Entertainment,E16,unknown,unknown
InMotion Entertainment,E17,unknown,unknown
InMotion Entertainment,E18,unknown,unknown
InMotion Entertainment,E19,unknown,unknown
InMotion Entertainment,E20,unknown,unknown
InMotion Entertainment,E21,unknown,unknown
InMotion Entertainment,E22,unknown,unknown
Emirates Check-in,A3H,2164,30
Emirates Check-in,A3G,2183,30
Emirates Check-in,A3F,2195,30
Emirates Check-in,A3E,2234,31
Emirates Check-in,A3D,2270,32
Emirates Check-in,A3C,2263,32
Emirates Check-in,A3B,2249,31
Emirates Check-in,A3A,2214,31
Emirates Check-in,A15,2317,32
Emirates Check-in,A14,2329,32
Emirates Check-in,A12,2293,32
Emirates Check-in,A11,2269,31
Emirates Check-in,A10,2256,31
Emirates Check-in,A9,2239,31
Emirates Check-in,A8,2211,30
Emirates Check-in,A7,2179,30
Emirates Check-in,A2,2110,29
Emirates Check-in,A1,2069,28
Emirates Check-in,A17,2351,33
Emirates Check-in,A18,2381,33
Emirates Check-in,A19,2390,33
Emirates Check-in,A20,2380,33
Emirates Check-in,A24,2373,33
Emirates Check-in,A25,2265,31
Emirates Check-in,A26,2299,31
Emirates Check-in,A27,2336,32
Emirates Check-in,A29,2342,32
Emirates Check-in,A30,2347,32
Emirates Check-in,B76,1754,26
Emirates Check-in,B77,1751,26
Emirates Check-in,B79,1750,26
Emirates Check-in,B80,1751,26
Emirates Check-in,B81,1752,26
Emirates Check-in,B83,1855,28
Emirates Check-in,B85,1897,29
Emirates Check-in,B86,1897,29
Emirates Check-in,B86A,1897,29
Emirates Check-in,B87,1898,29
Emirates Check-in,B88,1899,29
Emirates Check-in,B11,1892,29
Emirates Check-in,B1,1913,29
Emirates Check-in,B10,1928,29
Emirates Check-in,B2,1947,29
Emirates Check-in,B9,1962,30
Emirates Check-in,B3,1985,30
Emirates Check-in,B8,2001,30
Emirates Check-in,B4,2020,31
Emirates Check-in,B7,2035,31
Emirates Check-in,B6,2032,31
Emirates Check-in,B5,2036,31
Emirates Check-in,B20,1830,27
Emirates Check-in,B12,1843,28
